Time,prey,predator
3.773773773773773854e+01,3.250023592256500393e+00,1.499995281624930854e+01
3.783783783783783861e+01,3.250022843261525907e+00,1.499995431553975500e+01
3.793793793793793867e+01,3.250022117675232636e+00,1.499995576783810058e+01
3.803803803803803874e+01,3.250021414605030579e+00,1.499995717486279645e+01
3.813813813813813880e+01,3.250020733168433207e+00,1.499995853830521853e+01
3.823823823823823886e+01,3.250020072491214940e+00,1.499995985983311009e+01
3.833833833833833893e+01,3.250019431705565065e+00,1.499996114109401368e+01
3.843843843843843899e+01,3.250018810076356512e+00,1.499996238351917910e+01
3.853853853853853906e+01,3.250018211208148600e+00,1.499996358177243394e+01
3.863863863863863912e+01,3.250017631221871373e+00,1.499996474216356646e+01
